GIMHABOG,,
,,
Nombre del computadora:,GIMHABOG,
Caché L1 (E-cores):,"Instruction: 4 x 64 KBytes, Data: 4 x 32 KBytes",
Caché L2 (P-cores):,Integrated: 8 x 1280 KBytes,
Caché L2 (E-cores):,Integrated: 2 MBytes,
Caché L3:,25 MBytes,
FPU on Chip,Presente,
Enhanced Virtual-86 Mode,Presente,
I/O Breakpoints,Presente,
Page Size Extensions,Presente,
Time Stamp Counter,Presente,
Pentium-style Model Specific Registers,Presente,
Physical Address Extension,Presente,
Machine Check Exception,Presente,
CMPXCHG8B Instruction,Presente,
APIC On Chip / PGE (AMD),Presente,
Fast System Call,Presente,
Memory Type Range Registers,Presente,
Page Global Feature,Presente,
Machine Check Architecture,Presente,
CMOV Instruction,Presente,
Page Attribute Table,Presente,
36-bit Page Size Extensions,Presente,
Processor Number,No presente,
CLFLUSH Instruction,Presente,
Debug Trace and EMON Store,No presente,
Internal ACPI Support,Presente,
MMX Technology,Presente,
Fast FP Save/Restore (IA MMX-2),Presente,
Streaming SIMD Extensions,Presente,
Streaming SIMD Extensions 2,Presente,
Self-Snoop,Presente,
Multi-Threading Capable,Presente,
Automatic Clock Control,Presente,
IA-64 Processor,No presente,
Signal Break on FERR,Presente,
Virtual Machine Extensions (VMX),No presente,
Safer Mode Extensions (Intel TXT),No presente,
Streaming SIMD Extensions 3,Presente,
Supplemental Streaming SIMD Extensions 3,Presente,
Streaming SIMD Extensions 4.1,Presente,
Streaming SIMD Extensions 4.2,Presente,
AVX Support,Presente,
Fused Multiply Add (FMA),Presente,
Carryless Multiplication (PCLMULQDQ)/GFMUL,Presente,
CMPXCHG16B Support,Presente,
MOVBE Instruction,Presente,
POPCNT Instruction,Presente,
XSAVE/XRSTOR/XSETBV/XGETBV Instructions,Presente,
XGETBV/XSETBV OS Enabled,Presente,
Float16 Instructions,Presente,
AES Cryptography Support,Presente,
Random Number Read Instruction (RDRAND),Presente,
Extended xAPIC,Presente,
MONITOR/MWAIT Support,Presente,
Thermal Monitor 2,Presente,
Enhanced SpeedStep Technology,Presente,
L1 Context ID,No presente,
Send Task Priority Messages Disabling,Presente,
Processor Context ID,Presente,
Direct Cache Access,No presente,
TSC-deadline Timer,Presente,
Performance/Debug Capability MSR,Presente,
IA32 Debug Interface Support,No presente,
64-Bit Debug Store,No presente,
CPL Qualified Debug Store,No presente,
64-bit Extensions,Presente,
RDTSCP and TSC_AUX Support,Presente,
1 GB large page support,Presente,
No Execute,Presente,
SYSCALL/SYSRET Support,Presente,
Bit Manipulation Instructions Set 1,Presente,
Bit Manipulation Instructions Set 2,Presente,
Advanced Vector Extensions 2 (AVX2),Presente,
Advanced Vector Extensions 512 (AVX-512) Foundation,No presente,
AVX-512 Prefetch Instructions,No presente,
AVX-512 Exponential and Reciprocal Instructions,No presente,
AVX-512 Conflict Detection Instructions,No presente,
AVX-512 Doubleword and Quadword Instructions,No presente,
AVX-512 Byte and Word Instructions,No presente,
AVX-512 Vector Length Extensions,No presente,
AVX-512 52-bit Integer FMA Instructions,No presente,
Secure Hash Algorithm (SHA) Extensions,Presente,
Software Guard Extensions (SGX) Support,No presente,
Supervisor Mode Execution Protection (SMEP),Presente,
Supervisor Mode Access Prevention (SMAP),Presente,
Hardware Lock Elision (HLE),No presente,
Restricted Transactional Memory (RTM),No presente,
Memory Protection Extensions (MPX),No presente,
Read/Write FS/GS Base Instructions,Presente,
Enhanced Performance String Instruction,Presente,
INVPCID Instruction,Presente,
RDSEED Instruction,Presente,
Multi-precision Add Carry Instructions (ADX),Presente,
PCOMMIT Instructions,No presente,
CLFLUSHOPT Instructions,Presente,
CLWB Instructions,Presente,
Time-Stamp Counter Adjustment,No presente,
Platform Quality of Service Monitoring (PQM),No presente,
Platform Quality of Service Enforcement (PQE),No presente,
FPU Data Pointer updated only on x87 Exceptions,No presente,
Deprecated FPU CS and FPU DS,Presente,
Intel Processor Trace,Presente,
PREFETCHWT1 Instruction,No presente,
AVX-512 Vector Bit Manipulation Instructions,No presente,
AVX-512 Vector Bit Manipulation Instructions 2,No presente,
AVX-512 Galois Fields New Instructions,Presente,
AVX-512 Vector AES,Presente,
AVX-512 Vector Neural Network Instructions,No presente,
AVX-512 Bit Algorithms,No presente,
AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ),Presente,
AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ),No presente,
User-Mode Instruction Prevention,Presente,
Protection Keys for User-mode Pages,No presente,
OS Enabled Protection Keys,No presente,
Wait and Pause Enhancements (WAITPKG),Presente,
Total Memory Encryption,No presente,
Key Locker,No presente,
"57-bit Linear Addresses, 5-level Paging",No presente,
Read Processor ID,Presente,
OS Bus-Lock Detection,No presente,
Cache Line Demote,No presente,
MOVDIRI: Direct Stores,Presente,
MOVDIR64B: Direct Stores,Presente,
ENQCMD: Enqueue Stores,No presente,
SGX Launch Configuration,No presente,
Protection Keys for Supervisor-Mode Pages,No presente,
Control-Flow Enforcement Technology (CET) Shadow Stack,Presente,
Attestation Services for Intel SGX,No presente,
AVX-512 4 x Vector Neural Network Instructions Word Variable Precision,No presente,
AVX-512 4 x Fused Multiply Accumulation Packed Single Precision,No presente,
Fast Short REP MOV,Presente,
User Interrupts,No presente,
AVX-512 VP2INTERSECT Support,No presente,
AVX-512 FP16,No presente,
MD_CLEAR Support,Presente,
IA32_MCU_OPT_CTRL MSR Support,No presente,
Restricted Transactional Memory (RTM) Always Abort,No presente,
Restricted Transactional Memory (RTM) Force Abort,No presente,
SERIALIZE,Presente,
Hybrid Processor,Presente,
TSX Suspend Load Address Tracking,No presente,
Platform Configuration (PCONFIG),No presente,
Architectural LBRs,Presente,
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)",Presente,
Single Thread Indirect Branch Predictors (STIBP),Presente,
L1D_FLUSH Support,Presente,
IA32_ARCH_CAPABILITIES MSR,Presente,
IA32_CORE_CAPABILITIES MSR,No presente,
Speculative Store Bypass Disable (SSBD),Presente,
Control-Flow Enforcement Technology (CET) Indirect Branch Tracking,Presente,
Advanced Matrix Extensions (AMX) Tile Architecture,No presente,
Advanced Matrix Extensions (AMX) bfloat16 Support,No presente,
Advanced Matrix Extensions (AMX) 8-bit Integer Operations,No presente,
SHA512 Instructions,No presente,
SM3 Instructions,No presente,
SM4 Instructions,No presente,
Advanced Matrix Extensions (AMX) FP16 Instructions,No presente,
AVX (VEX-encoded) Vector Neural Network Instructions,Presente,
AVX-512 BFLOAT16 Instructions,No presente,
Fast Zero-Length MOVSB,No presente,
Fast Short STOSB,Presente,
"Fast Short CMPSB, SCASB",No presente,
History Reset,Presente,
Linear Address Masking,No presente,
Linear Address Space Separation,No presente,
RAO-INT Instructions,No presente,
CMPccXADD Instructions,No presente,
Flexible Return and Event Delivery (FRED),No presente,
LKGS Instruction,No presente,
WRMSRNS Instruction,No presente,
NMI-source Reporting,No presente,
AVX-IFMA Instructions,No presente,
RD/WR MSRLIST Instructions,No presente,
INVD Execution Prevention After BIOS-Done,No presente,
Move Read-Shared Value (MOVRS),No presente,
Protected Processor Inventory Number (IA32_PPIN) Support,No presente,
PBNDKB Instruction,No presente,
X86S (Legacy-reduced OS ISA),No presente,
64-bit SIPI,No presente,
RDMSR/WRMSR Immediate Forms,No presente,
AVX-VNNI-INT8 Instructions,No presente,
AVX-VNNI-INT16 Instructions,No presente,
AVX-NE-CONVERT Instructions,No presente,
PREFETCHIT0/1 Instructions,No presente,
URDMSR/UWRMSR Instructions,No presente,
AMX-COMPLEX Instructions,No presente,
CET Supervisor Shadow-Stack,No presente,
UIRET Support,No presente,
Advanced Vector Extensions 10 (AVX10),No presente,
Advanced Performance Extensions (APX) Foundation,No presente,
Not Exhibiting MXCSR Configuration Dependent Timing (MCDT),No presente,
UC-Lock Disable Feature,No presente,
Rogue Data Cache Load (RDCL):,Not Susceptible,
Speculative Store Bypass (SSB):,Susceptible,
Microarchitectural Data Sampling (MDS):,Not Susceptible,
MCE on modifying code page size without TLB invalidation:,Not Susceptible,
Transactional Asynchronous Abort (TAA):,Not Affected,
"Shared Buffers Data Read (SBDR), Sideband Stale Data Propagator (SSDP) Vulnerability:",Not Affected,
Fill Buffer Stale Data Propagator (FBSDP) Vulnerability:,Not Affected,
Primary Stale Data Propagator (PSDP) Vulnerability:,Not Affected,
Post-barrier Return Stack Buffer Predictions Vulnerability:,Affected,
Indirect Branch Restriction Speculation (IBRS):,Soportado,
RTM_DISABLE and TSX_CPUID_CLEAR:,No soportado,
RSB Alternate:,Soportado,
L1D Flush on VM Entry Not Needed:,Soportado,
Data Operand Independent Timing Mode (DOITM):,No soportado,
Control de filtrado de energía:,No soportado,
Data Operand Independent Timing Mode:,No soportado,
RRSBA Alternate Prediction Behavior:,No soportado,
BHI_NO Branch Prediction Behavior:,No soportado,
MCU Enumeration MSR:,No soportado,
MCU Extended Servicing:,No soportado,
Overclocking Utilized:,Deshabilitado,
Dynamic Overclocking Undervolt Protection:,Activado,
Overclocking Secure Status:,Deshabilitado,
Thermal Monitor 1:,"Soportado, Activado",
Thermal Monitor 2:,"Soportado, Activado",
Enhanced Intel SpeedStep (GV3):,"Soportado, Activado",
Bi-directional PROCHOT#:,Activado,
Extended Auto-HALT State C1E:,N/A,
MLC Streamer Prefetcher,"Soportado, Activado",
MLC Spatial Prefetcher,"Soportado, Activado",
DCU Streamer Prefetcher,"Soportado, Activado",
DCU IP Prefetcher,"Soportado, Activado",
Intel Dynamic Acceleration (IDA) Technology:,No soportado,
Intel Dynamic FSB Switching:,No soportado,
Intel Turbo Boost Technology:,"Soportado, Activado",
Programmable Ratio Limits:,"Soportado, Deshabilitado",
Programmable TDC/TDP Limits:,"Soportado, Deshabilitado",
Hardware Duty Cycling:,No soportado,
Intel Speed Select:,No soportado,
NVME:,Soportado,
DMI x4 Width:,Soportado,
DRAM ECC:,No soportado,
VT-d:,Soportado,
DMI in Gen2 Mode:,Soportado,
1N Mode DDR Timings:,Soportado,
Camarillo (DTT) Device:,Soportado,
2 DIMMs per Channel:,Soportado,
X2APIC:,Soportado,
Dual Memory Channel:,Soportado,
Integrated GPU (IGD):,Deshabilitado,
2 Level Memory (2LM):,No soportado,
DDR Overclocking:,Activado,
Tamaño máximo de memoria por canal:,32 GB (unlimited),
IMGU/IPU Device:,No soportado,
Intel Processor Trace (Northpeak):,Soportado,
Overclocking:,Deshabilitado,
Hyper-Threading (SMT):,Soportado,
SVM:,Soportado,
Gráficos aditivos:,Deshabilitado,
PCIe Gen 3:,Soportado,
DMI Gen 3:,Soportado,
HDCP:,Soportado,
L Technology:,1LM,
VMD:,Soportado,
PCIe Gen 5:,Soportado,
PCIe Gen 4:,Soportado,
BCLK OC Limit:,100 MHz,
DDR4:,Soportado,
LPDDR4:,No soportado,
Dynamic Memory Frequency (QCLK GV):,Soportado,
Software Guard Extension (SGX):,No soportado,
DDR5:,Soportado,
Frecuencia máxima admitida de DDR5:,Ilimitado,
LPDDR5:,No soportado,
VCC VR:,"Richtek (0x9), IMVP9.2",
VR Thermal Sensor:,No soportado,
Tamaño máximo de dirección física:,39-bit (512 GBytes),
Tamaño máximo de dirección virtual:,48-bit (256 TBytes),
Range 80000000-100000000 (2048MB-4096MB) Type:,Uncacheable (UC),
Range 4000000000-8000000000 (262144MB-524288MB) Type:,Uncacheable (UC),
,,
Tarjeta madre,,
,,
Nombre de marca de computadora:,MSI MS-7D25,
Modelo de placa base:,MSI PRO Z690-A DDR4(MS-7D25),
Chipset de la placa base:,Intel Z690 (Alder Lake-S PCH),
Ranuras para placa base:,"1xPCI, 5xPCI Express x1, 2xPCI Express x4, 1xPCI Express x16",
Versión de PCI Express admitida:,v5.0,
Versión USB admitida:,v3.2,
Fabricante de BIOS:,"American Megatrends International, LLC.",
Fecha de BIOS (mm/dd/yyyy):,1/09/2023,
Versión de BIOS:,1.A0,
UEFI BIOS:,Capaz,
Chip Super-IO / LPC:,Nuvoton NCT6687D,
Chip del módulo de plataforma segura (TPM):,"Hardware TPM, version 2.0",
,,
Dispositivos ACPI,,
,,
,,
Intel(R) Serial IO GPIO Host Controller - INTC1056,,
,,
Nombre del dispositivo:,Intel(R) Serial IO GPIO Host Controller - INTC1056,
Ubicación de la memoria:,E06A0000 - E06AFFFF,
IRQ:,14,
Ubicación de la memoria:,E06E0000,
Ubicación de la memoria:,E06D0000 - E06DFFFF,
Ubicación de la memoria:,E06B0000 - E06BFFFF,
Ubicación de la memoria:,E06A0000 - E06AFFFF,
Ubicación de la memoria:,E0690000 - E069FFFF,
IRQ:,14,
,,
Intel(R) Watchdog Timer Driver (Intel(R) WDT),,
,,
Nombre del dispositivo:,Intel(R) Watchdog Timer Driver (Intel(R) WDT),
I/O Port:,1854 - 1857,
I/O Port:,1854 - 1857,
,,
Trusted Platform Module 2.0,,
,,
Nombre del dispositivo:,Trusted Platform Module 2.0,
Ubicación de la memoria:,FED40000 - FED44FFF,
Ubicación de la memoria:,FED40000 - FED44FFF,
,,
Programmable interrupt controller,,
,,
Nombre del dispositivo:,Programmable interrupt controller,
I/O Port:,0020 - 0021,
I/O Port:,0030 - 0031,
I/O Port:,00A0 - 00A1,
I/O Port:,00B0 - 00B1,
IRQ:,1114369,
IRQ:,1114369,
IRQ:,1114369,
IRQ:,1114369,
I/O Port:,0020 - 0021,
I/O Port:,0024 - 0025,
I/O Port:,0028 - 0029,
I/O Port:,002C - 002D,
I/O Port:,0030 - 0031,
I/O Port:,0034 - 0035,
I/O Port:,0038 - 0039,
I/O Port:,003C - 003D,
I/O Port:,00A0 - 00A1,
I/O Port:,00A4 - 00A5,
I/O Port:,00A8 - 00A9,
I/O Port:,00AC - 00AD,
I/O Port:,00B0 - 00B1,
I/O Port:,00B4 - 00B5,
I/O Port:,00B8 - 00B9,
I/O Port:,00BC - 00BD,
I/O Port:,04D0 - 04D1,
,,
System timer,,
,,
Nombre del dispositivo:,System timer,
I/O Port:,0040 - 0043,
DMA:,0,
I/O Port:,0040 - 0043,
I/O Port:,0050 - 0053,
IRQ:,0,
,,
High precision event timer,,
,,
Nombre del dispositivo:,High precision event timer,
Ubicación de la memoria:,FED00000 - FED003FF,
Ubicación de la memoria:,FED00000 - FED003FF,
,,
PCI Express Root Complex,,
,,
Nombre del dispositivo:,PCI Express Root Complex,
I/O Port:,0000 - FFFFFFFF,
Ubicación de la memoria:,000A0000 - 000BFFFF,
Ubicación de la memoria:,000E4000 - 000E3FFF,
Ubicación de la memoria:,000EC000 - 000EFFFF,
I/O Port:,0000 - 0CF7,
I/O Port:,0D00 - FFFF,
Ubicación de la memoria:,000A0000 - 000BFFFF,
Ubicación de la memoria:,000E0000 - 000E3FFF,
Ubicación de la memoria:,000E4000 - 000E7FFF,
Ubicación de la memoria:,000E8000 - 000EBFFF,
Ubicación de la memoria:,000EC000 - 000EFFFF,
Ubicación de la memoria:,000F0000 - 000FFFFF,
Ubicación de la memoria:,80000000 - BFFFFFFF,
,,
Motherboard resources,,
,,
Nombre del dispositivo:,Motherboard resources,
I/O Port:,0A00 - 0A0F,
I/O Port:,0A00 - 0A0F,
I/O Port:,0A10 - 0A1F,
I/O Port:,0A20 - 0A2F,
,,
Motherboard resources,,
,,
Nombre del dispositivo:,Motherboard resources,
Ubicación de la memoria:,FEDC0000 - FEDC7FFF,
Ubicación de la memoria:,FED20000 - FED7FFFF,
Ubicación de la memoria:,FEDC0000 - FEDC7FFF,
Ubicación de la memoria:,FEDA0000 - FEDA0FFF,
Ubicación de la memoria:,FEDA1000 - FEDA1FFF,
Ubicación de la memoria:,C0000000 - CFFFFFFF,
Ubicación de la memoria:,FED20000 - FED7FFFF,
Ubicación de la memoria:,FED90000 - FED93FFF,
Ubicación de la memoria:,FED45000 - FED8FFFF,
Ubicación de la memoria:,FEE00000 - FEEFFFFF,
,,
Motherboard resources,,
,,
Nombre del dispositivo:,Motherboard resources,
I/O Port:,002E - 002F,
I/O Port:,0065,
I/O Port:,0000 - 006F,
I/O Port:,0092,
IRQ:,1114369,
I/O Port:,002E - 002F,
I/O Port:,004E - 004F,
I/O Port:,0061,
I/O Port:,0063,
I/O Port:,0065,
I/O Port:,0067,
I/O Port:,0070,
I/O Port:,0080,
I/O Port:,0092,
I/O Port:,00B2 - 00B3,
I/O Port:,0680 - 069F,
I/O Port:,164E - 164F,
,,
Motherboard resources,,
,,
Nombre del dispositivo:,Motherboard resources,
I/O Port:,2000 - 20FE,
I/O Port:,2000 - 20FE,
,,
SMBIOS DMI,,
,,
,,
BIOS,,
,,
Fabricante de BIOS:,"American Megatrends International, LLC.",
Versión de BIOS:,1.A0,
Fecha de lanzamiento del BIOS (mm/dd/yyyy):,1/09/2023,
Segmento de inicio de BIOS:,F000,
Tamaño de la BIOS:,32 MBytes,
Versión del BIOS del sistema:,5.27,
ISA Support:,No presente,
MCA Support:,No presente,
EISA Support:,No presente,
PCI Support:,Presente,
PC Card (PCMCIA) Support:,No presente,
Plug-and-Play Support:,No presente,
APM Support:,No presente,
Flash BIOS:,Presente,
BIOS Shadow:,Presente,
VL-VESA Support:,No presente,
ESCD Support:,No presente,
Boot from CD:,Presente,
Selectable Boot:,Presente,
BIOS ROM Socketed:,Presente,
Boot from PC Card:,No presente,
EDD Support:,Presente,
NEC PC-98 Support:,No presente,
ACPI Support:,Presente,
USB Legacy Support:,Presente,
AGP Support:,No presente,
I2O Boot Support:,No presente,
LS-120 Boot Support:,No presente,
ATAPI ZIP Drive Boot Support:,No presente,
IEE1394 Boot Support:,No presente,
Smart Battery Support:,No presente,
BIOS Boot Specification Support:,Presente,
Function key-initiated Network Service Boot Support:,No presente,
Targeted Content Distribution Support:,Presente,
UEFI Specification Support:,Presente,
Virtual Machine:,No presente,
,,
Sistema,,
,,
Fabricante del sistema:,"Micro-Star International Co., Ltd.",
Nombre del producto:,MS-7D25,
Version del producto:,1,
Número de serie del producto:,,
UUID:,{AD9C2B6C-0480-911C-ABC4-D8BBC1D898E2},
SKU Number:,,
Family:,,
,,
tarjeta madre,,
,,
Fabricante de la placa base:,"Micro-Star International Co., Ltd.",
Nombre de la placa base:,PRO Z690-A DDR4(MS-7D25),
Versión de la placa base:,1,
Número de serie de la placa base:,07D2512_M11E180433,
Asset Tag:,,
Ubicación en el chasis de la:,,
,,
Caja del sistema,,
,,
Fabricante:,"Micro-Star International Co., Ltd.",
Tipo de caja:,Desktop,
Versión:,1,
Número de serie:,,
Asset Tag Number:,,
,,
Cadenas de texto OEM,,
,,
,,
,,
Opciones de configuración del sistema,,
,,
,,
,,
Información de arranque del sistema,,
,,
Estado de arranque:,No ocurrió ningún error,
,,
Dispositivo de gestión,,
,,
Descripción del aparato:,LM78-1,
Tipo de dispositivo:,National Semiconductor LM78,
Device Address:,I/O: 0,
,,
Sonda de voltaje,,
,,
Descripción:,LM78A,
Location:,Tarjeta madre,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,Unknown,
Resolution:,Unknown,
Tolerance:,Unknown,
Accuracy:,Unknown,
,,
Management Device Threshold Data,,
,,
,,
Componente de dispositivo de gestión,,
,,
,,
Probeta de temperatura,,
,,
Descripción:,LM78A,
Location:,Motherboard,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,OK,
Nominal Value:,OK,
Resolution:,OK,
Tolerance:,OK,
Accuracy:,Unknown,
,,
Management Device Threshold Data,,
,,
,,
Componente de dispositivo de gestión,,
,,
,,
Dispositivo de enfriamiento,,
,,
Escribe:,Power Supply Fan,
Descripción:,Cooling Dev 1,
Status:,OK,
,,
Management Device Threshold Data,,
,,
,,
Componente de dispositivo de gestión,,
,,
,,
Dispositivo de enfriamiento,,
,,
Escribe:,Power Supply Fan,
Descripción:,,
Status:,OK,
,,
Management Device Threshold Data,,
,,
,,
Componente de dispositivo de gestión,,
,,
,,
Sonda de corriente eléctrica,,
,,
Descripción:,ABC,
Location:,Tarjeta madre,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,Unknown,
Resolution:,Unknown,
Tolerance:,Unknown,
Accuracy:,Unknown,
,,
Management Device Threshold Data,,
,,
,,
Componente de dispositivo de gestión,,
,,
,,
Sonda de voltaje,,
,,
Descripción:,LM78A,
Location:,Potencia Unit,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,Unknown,
Resolution:,Unknown,
Tolerance:,Unknown,
Accuracy:,Unknown,
,,
Probeta de temperatura,,
,,
Descripción:,LM78A,
Location:,Power Unit,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,OK,
Nominal Value:,OK,
Resolution:,OK,
Tolerance:,OK,
Accuracy:,Unknown,
,,
Dispositivo de enfriamiento,,
,,
Escribe:,Power Supply Fan,
Descripción:,Cooling Dev 1,
Status:,OK,
,,
Sonda de corriente eléctrica,,
,,
Descripción:,ABC,
Location:,Potencia Unit,
Status:,OK,
Maximum Value:,Unknown,
Minimum Value:,Unknown,
Resolution:,Unknown,
Tolerance:,Unknown,
Accuracy:,Unknown,
,,
Fuente de alimentación del sistema,,
,,
Location:,To Be Filled By O.E.M.,
Nombre del dispositivo:,To Be Filled By O.E.M.,
Fabricante:,To Be Filled By O.E.M.,
Número de serie:,To Be Filled By O.E.M.,
Asset Tag Number:,To Be Filled By O.E.M.,
Model Part Number:,To Be Filled By O.E.M.,
Revision Level:,To Be Filled By O.E.M.,
Power Supply Status:,Presente,
Power Supply Type:,Switching,
Estado de energía:,OK,
Hot replaceable:,No,
Unplugged from wall:,No,
,,
Información adicional del procesador,,
,,
Nombre del componente de firmware:,,
Firmware Manufacturer:,,
Versión de firmware:,,
Fecha de lanzamiento del firmware:,,
,,
TPM,,
,,
Versión de la especificación TPM:,2,
Proveedor de TPM:,Intel,
Descripción de TPM:,INTEL,
,,
Firmware Inventory Information,,
,,
Nombre del componente de firmware:,TPM Firmware,
Firmware Manufacturer:,INTEL,
Versión de firmware:,"2580012:19082B
",
Fecha de lanzamiento del firmware:,2021-05-15T00:00:00Z,
,,
Información de la versión de firmware,,
,,
FSP Binary Version,4.0.0.0,
,,
Información de la versión de firmware,,
,,
Reference Code - CPU,12.0.147.32,
uCode Version,0.0.0.40,
TXT ACM version,,
,,
Información de la versión de firmware,,
,,
Reference Code - ME,12.0.147.32,
MEBx version,0.0.0.0,
ME Firmware Version,Consumer SKU,
,,
Información de la versión de firmware,,
,,
Reference Code - PCH,12.0.147.32,
PCH-CRID Status,Disabled,
PCH-CRID Original Value,0x11,
PCH-CRID New Value,0x11,
OPROM - RST - RAID,2.70.0.0,
PCH Hsio Version,4.0.0.0,
,,
Información de la versión de firmware,,
,,
Reference Code - SA - System Agent,12.0.147.32,
Reference Code - MRC,0.0.4.104,
SA - PCIe Version,12.0.147.32,
SA-CRID Status,Disabled,
SA-CRID Original Value,0.0.0.2,
SA-CRID New Value,0.0.0.2,
OPROM - VBIOS,,
IO Manageability Engine FW Version,,
PHY Build Version,,
Thunderbolt(TM) FW Version,,
System Agent Manageability Engine FW Version,,
,,
Caché L1,,
,,
Designación de enchufe:,L1 Cache,
Estado de caché:,Activado,
Ubicación de la caché:,Interno,
Tipo de caché:,L1 Data,
Esquema de caché:,Write-Back,
Tipo de SRAM admitido:,Synchronous,
